time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642469983,-0.102890015,2.9981995,6.233307,0.28549194,0.07676697,-0.40397644
1515642470087,0.19381714,4.096512,5.6853485,-0.12986755,-0.2750702,-0.5469208
1515642470190,-2.1750793,4.8263245,6.0514526,-0.41209412,-0.024612427,-0.38931274
1515642470305,-1.1078796,5.99881,11.954544,-0.3253479,-0.5658417,0.5220642
1515642470409,0.81355286,5.9940186,13.663025,-0.08345032,-0.20176697,0.27896118
1515642470512,-0.7417755,3.7040863,6.417557,0.6092529,0.4799347,0.39622498
1515642470614,0.18902588,3.3236237,7.9465637,0.12055969,-0.09913635,0.5868225
1515642470716,0.5383911,3.7567291,8.039886,0.13400269,0.14640808,0.39257812
1515642470821,0.550354,4.5607147,7.5708923,-0.18363953,0.15374756,-0.030136108
1515642470923,0.72502136,5.8911285,7.7479553,-0.2557068,-0.32759094,-0.37953186
1515642471025,0.23928833,5.8049927,8.918045,-0.18118286,0.1855011,-0.71061707
1515642471128,-0.45703125,3.8692017,10.281952,0.025268555,0.3516693,-0.68496704
1515642471230,2.4311066,3.402588,9.389435,0.31726074,-0.36058044,-0.52005005
1515642471332,1.3160553,2.8522491,7.4775696,0.05947876,-0.39479065,-0.8596802
1515642471435,0.18185425,3.9601288,7.367508,-0.03945923,-0.4925232,-0.83403015
1515642471537,-0.7728882,5.48674,7.6402893,-0.23493958,-0.16511536,-0.8425751
1515642471641,-0.82073975,6.317047,8.714661,-0.045578003,-0.1822052,-0.51026917
1515642471745,1.1724854,4.852646,13.335205,0.058258057,-0.20420837,-0.6519928
1515642471849,0.5001068,3.5653076,8.317459,0.2549591,0.3125763,-0.36364746
1515642471957,0.37088013,3.2159576,7.6713867,-0.005264282,-0.8700409,-0.659317
1515642472061,-0.5814514,3.0843506,8.405991,-0.027267456,-0.13822937,-0.6654358
1515642472163,-0.21296692,3.7256317,8.051849,-0.17630005,-0.38256836,-0.63731384
1515642472266,0.086135864,4.515259,7.9824524,-0.12376404,-0.4741974,-0.76927185
1515642472368,0.071777344,4.54158,10.631317,-0.3791046,-0.76986694,-1.3288269
1515642472471,-1.3088684,1.758728,13.074387,-0.6601105,0.06578064,-1.5976105
1515642472574,1.1892395,2.9168549,12.047867,0.65812683,-0.78330994,-0.554245
1515642472677,1.174881,2.5005035,8.329422,0.2549591,-0.16143799,-1.1406708
1515642472779,0.38523865,3.2853394,7.331604,0.2390747,-0.36180115,-1.1309052
1515642472882,-0.8446655,3.9768677,8.056641,-0.006500244,-0.2750702,-0.81570435
1515642472984,-1.7180481,5.0895386,9.463608,0.17677307,-0.18099976,-0.18772888
1515642473088,0.062210083,5.9198456,10.258026,0.13032532,-0.6672363,0.1726532
1515642473190,-0.6412811,3.2350922,8.403595,-0.06390381,0.10243225,0.007751465
1515642473293,-0.0382843,2.8833466,7.3746796,0.36857605,0.20018005,0.11767578
1515642473399,0.33499146,3.5581207,7.240677,-0.22029114,0.030349731,-0.09121704
1515642473502,-0.19621277,4.0486603,7.6378937,0.105911255,-0.13090515,-0.02279663
1515642473605,-0.023925781,4.9627075,8.757736,0.20362854,-0.3471527,-0.11564636
1515642473708,0.8685913,5.584854,11.121841,0.47364807,-0.80529785,-0.116867065
1515642473810,0.8231354,3.9338074,11.990433,-0.9215393,0.6815338,-0.52005005
1515642473912,1.6869354,3.460022,8.987442,0.71798706,-0.53041077,-0.07777405
1515642474014,1.2275238,2.6488495,7.3651123,0.01914978,-0.017288208,-0.37832642
1515642474121,-0.38763428,2.732605,6.661621,-0.57458496,0.0499115,-0.41618347
1515642474222,-0.67477417,4.4362946,9.430115,-0.46583557,-0.18344116,0.017501831
1515642474325,-1.4931183,4.989029,9.951752,0.037490845,0.26124573,0.44267273
1515642474428,-1.6151581,4.240082,8.592621,0.06436157,0.39808655,1.1732483
1515642474531,-0.7417755,2.945572,8.6237335,0.085128784,0.72062683,1.4517975
1515642474633,-0.2871399,1.8017883,8.587845,0.26960754,0.35899353,1.7108154
1515642474734,0.22253418,2.548355,8.070984,0.28427124,0.5092621,1.6265106
1515642474836,0.5407715,3.3762665,9.229111,-0.019943237,0.47016907,1.0364227
1515642474940,0.5288086,3.8955078,9.918243,0.081466675,0.70106506,0.6112671
1515642475042,-0.4737854,4.8598175,9.028122,-0.06756592,0.31378174,0.541626
1515642475145,-0.0382843,3.2111664,13.182068,-0.57214355,0.68273926,0.3217163
1515642475249,2.1056824,3.0053864,9.623932,0.70822144,-0.18344116,0.5269623
1515642475356,0.99780273,1.6103668,8.925232,0.022827148,0.08532715,0.29238892
1515642475462,0.45942688,3.9625092,7.1617126,-0.00894165,-0.3288269,0.35102844
1515642475564,-0.39482117,4.886139,8.154739,-0.3277893,0.35533142,0.29484558
1515642475668,-0.69869995,5.601593,9.341583,-0.15919495,0.6338806,0.6039276
