time,accel x,accel y,accel z,gyro y,gyro x,gyro z
1515654181556,6.0895386,6.327606,2.3930664,-0.16540527,1.8356476,1.7762756
1515654181657,-3.1640472,6.3252106,1.545517,0.031661987,1.6013031,0.56933594
1515654181759,4.19812,7.3643036,3.3818665,0.72727966,-0.017913818,0.19862366
1515654181863,2.0816498,8.31958,4.337158,0.34059143,1.4468384,0.42445374
1515654181966,6.261917,18.957031,10.133514,0.47375488,-0.6336365,0.2657318
1515654182068,-0.7147827,5.8535614,-0.49195862,2.228241,-1.0757141,-2.5913086
1515654182170,1.1694489,6.2821198,12.113525,0.603714,-0.3460083,-0.71110535
1515654182272,1.7967377,7.6492157,-1.1288147,0.81677246,-0.945755,-0.5896759
1515654182375,1.6530762,8.7122345,0.16885376,0.48014832,-0.8232422,-0.55770874
1515654182477,2.060089,9.54303,-0.29083252,0.47694397,-0.7209778,-0.79953
1515654182579,3.4631042,10.491135,1.0163879,0.27241516,-0.5185852,-0.40963745
1515654182682,-0.8680115,15.255585,-1.5837097,-1.2189484,0.39648438,1.3171539
1515654182785,2.711319,11.092072,6.590103,-1.2754059,-0.9265747,1.1541595
1515654182888,1.9379883,7.0434723,2.4983978,-0.4221344,1.3158112,0.79837036
1515654182990,0.22853088,7.129669,3.2789154,-0.3518219,1.0729218,0.9890442
1515654183093,4.7416077,7.7282257,4.64122,0.47375488,0.5818329,0.114471436
1515654183196,3.4487305,7.876663,4.6507874,0.34698486,1.138977,0.55015564
1515654183298,4.1358643,23.206726,5.103302,0.34484863,-0.5558624,0.15068054
1515654183400,-3.1760254,8.999542,-1.1240234,1.9374237,-1.3047485,-2.3878326
1515654183503,-0.034835815,7.8670807,3.1807556,1.9150543,-0.05305481,-0.7835541
1515654183606,2.055313,8.0442505,-1.1000824,0.76457214,-0.91059875,-0.60990906
1515654183709,2.6730042,8.302826,0.9158325,0.5792084,-0.7635956,-0.65252686
1515654183812,1.7560272,9.322754,-0.17112732,0.56962585,-0.5036621,-0.73986816
1515654183914,3.5708313,10.39296,0.71232605,0.0135650635,-1.0597382,-0.5140381
1515654184016,-1.7825928,15.619507,-1.8135529,-1.9124451,0.2260437,1.2798615
1515654184120,4.1645966,11.060944,4.531082,-1.3297424,-0.20007324,1.0401764
1515654184223,2.8477936,6.9764404,2.4122162,-0.24636841,2.3885193,1.031662
